symbol,name,ticker,volume
btc,Bitcoin,BTC-PERP,4463220989.3142
eth,Ethereum,ETH-PERP,2479798556.4537
luna,Terra,LUNA-PERP,688778640.3872
sol,Solana,SOL-PERP,439811563.2788
ftm,Fantom,FTM-PERP,221122550.2658
sand,The Sandbox,SAND-PERP,198877163.13015
atom,Cosmos,ATOM-PERP,151085350.95908
matic,Polygon,MATIC-PERP,139293794.781355
dot,Polkadot,DOT-PERP,117385374.7099
ada,Cardano,ADA-PERP,102797820.662245
bnb,Binance Coin,BNB-PERP,96299769.20975
ftt,FTX Token,FTT-PERP,86396742.46715
near,Near,NEAR-PERP,84930592.22895
looks,LooksRare,LOOKS-PERP,77673251.4005
dydx,dYdX,DYDX-PERP,74410620.0597
link,Chainlink,LINK-PERP,67242459.0227
spell,Spell Token,SPELL-PERP,58579616.16075
xrp,XRP,XRP-PERP,56853307.0469
mana,Decentraland,MANA-PERP,52481522.5782
axs,Axie Infinity,AXS-PERP,52262097.7119
doge,Dogecoin,DOGE-PERP,50646398.921623
reef,Reef Finance,REEF-PERP,43136248.92335
ltc,Litecoin,LTC-PERP,41073391.8671
gala,Gala,GALA-PERP,40739496.72725
crv,Curve DAO Token,CRV-PERP,40720090.01275
sushi,Sushi,SUSHI-PERP,38830951.64795
eos,EOS,EOS-PERP,35654996.438625
flow,Flow,FLOW-PERP,33346218.6681
usdt,Tether,USDT-PERP,32311360.3881
bch,Bitcoin Cash,BCH-PERP,29989998.6491
cro,Crypto.com Coin,CRO-PERP,28482220.329
algo,Algorand,ALGO-PERP,24961569.3437
lrc,Loopring,LRC-PERP,24400000.61675
ron,Ronin,RON-PERP,23477059.6627
rsr,Reserve Rights Token,RSR-PERP,22760227.5953
fil,Filecoin,FIL-PERP,20663211.779
enj,Enjin Coin,ENJ-PERP,20427157.82385
aave,Aave,AAVE-PERP,20106636.0337
xtz,Tezos,XTZ-PERP,18380344.1516239
waves,Waves,WAVES-PERP,17559545.94275
omg,OMG Network,OMG-PERP,16872373.95035
uni,Uniswap,UNI-PERP,16148519.3805
one,Harmony,ONE-PERP,16019508.96025
srm,Serum,SRM-PERP,15625552.754
theta,Theta Network,THETA-PERP,14921776.179865
xlm,Stellar,XLM-PERP,14871154.85595
icp,Internet Computer,ICP-PERP,13143442.217
kshib,Kilo Shiba Inu,KSHIB-PERP,12892023.12168
snx,Synthetix Network Token,SNX-PERP,12304308.70485
shib,Shiba Inu,SHIB-PERP,12121960.6
people,ConstitutionDAO,PEOPLE-PERP,12015875.3381
knc,Kyber Network Crystal,KNC-PERP,11905206.7633
ens,Ethereum Name Service,ENS-PERP,11842105.2644
storj,Storj,STORJ-PERP,11763801.48135
hnt,Helium,HNT-PERP,11388711.26172
egld,Elrond,EGLD-PERP,11255218.9485
zec,Zcash,ZEC-PERP,11200672.991
rune,THORChain,RUNE-PERP,11093516.7572
cake,PancakeSwap,CAKE-PERP,9961241.465
badger,Badger DAO,BADGER-PERP,9883534.716
slp,Smooth Love Potion,SLP-PERP,9788415.17075
xmr,Monero,XMR-PERP,9749071.2339
cream,Cream,CREAM-PERP,9617927.726
comp,Compound,COMP-PERP,9593077.408426
chz,Chiliz,CHZ-PERP,9466332.29447
vet,VeChain,VET-PERP,9289576.33336
ray,Raydium,RAY-PERP,8288629.8618
trx,TRON,TRX-PERP,8249976.9297825
alice,My Neighbor Alice,ALICE-PERP,8057509.03725
rose,Oasis Network,ROSE-PERP,7836082.4109
1inch,1inch,1INCH-PERP,7822840.868
bat,Basic Attention Token,BAT-PERP,7426956.0883
grt,The Graph,GRT-PERP,7397254.37415
perp,Perpetual Protocol,PERP-PERP,7194568.0405
yfi,yearn.finance,YFI-PERP,7193679.785
ar,Arweave,AR-PERP,7074669.4179
etc,Ethereum Classic,ETC-PERP,7037318.75905
kin,Kin,KIN-PERP,6902542.6291
maps,MAPS,MAPS-PERP,6750100.5829
ksm,Kusama,KSM-PERP,6172882.8984
sxp,Swipe,SXP-PERP,6154727.88105
mkr,Maker,MKR-PERP,5862876.3305
stx,Stacks,STX-PERP,5856209.86525
tomo,TomoChain,TOMO-PERP,5670706.103655
chr,Chromia,CHR-PERP,5069506.871
ren,Rinnegan,REN-PERP,5068805.803
ren,REN,REN-PERP,5068805.803
