ticker,volume
BTC-PERP,3283036474.3691
ETH-PERP,1946645601.5092
SOL-PERP,743213771.70815
LUNA-PERP,231877557.9825
AVAX-PERP,143466579.9129
FTT-PERP,122338448.40585
FTM-PERP,117614918.7982
LOOKS-PERP,113822254.396
DOT-PERP,107272285.1715
ADA-PERP,95538749.54735
MATIC-PERP,88055114.74443
SAND-PERP,85694151.0033
ATOM-PERP,82120239.85947
LINK-PERP,73743076.4267
PEOPLE-PERP,66870985.5039
MANA-PERP,54513104.2224
BNB-PERP,49395641.3065
DOGE-PERP,49200675.4322525
LTC-PERP,49127228.8425
CRV-PERP,47402566.938
NEAR-PERP,40291672.12965
AGLD-PERP,40010946.5924
XRP-PERP,36864720.44785
AXS-PERP,34923761.1814
GALA-PERP,30860183.62025
XTZ-PERP,28447701.1290656
SUSHI-PERP,25672218.65115
ALT-PERP,24830977.319
EOS-PERP,23344084.08595
SPELL-PERP,21556856.223
RNDR-PERP,20582678.91615
LRC-PERP,20222685.74755
BCH-PERP,18416844.8682
ALGO-PERP,17605279.163
SNX-PERP,14305422.99725
FIL-PERP,13550944.274
MAPS-PERP,12901555.7725
AR-PERP,12400543.456
ENJ-PERP,12076148.95225
UNI-PERP,11755201.1836
AAVE-PERP,11575584.6318
DYDX-PERP,11275132.6917
FLOW-PERP,11269300.32975
ONE-PERP,11104631.7905
EGLD-PERP,10910385.13615
ETC-PERP,10841125.59245
SRM-PERP,10446136.79
XLM-PERP,10419291.982675
KNC-PERP,10342726.15016
CRO-PERP,10109340.505
FIDA-PERP,9603732.8159
GRT-PERP,8609705.2085
VET-PERP,8125690.422645
WAVES-PERP,8002271.07625
EXCH-PERP,7995753.9223
ZEC-PERP,7846526.1305
COMP-PERP,7757495.399409
RAY-PERP,7490320.4922
KSOS-PERP,7288828.9396
1INCH-PERP,7278268.4878
TRX-PERP,7055262.1143975
RUNE-PERP,7043461.4344
OXY-PERP,7001807.9154
ALICE-PERP,6832097.24675
ICP-PERP,6732427.6496
MKR-PERP,6662645.668
CAKE-PERP,6660812.9945
KSM-PERP,6573447.5133
OMG-PERP,6282313.9596
HNT-PERP,6021933.31603
KSHIB-PERP,5972558.92012
YFI-PERP,5714268.37
THETA-PERP,5630266.274345
SXP-PERP,5259616.27055
LEO-PERP,5047714.3637
